Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.514725 | segment id: 38 | term: "Hawaiʻi Commission on National and Community Service" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.467744 | segment id: 64 | term: "Research Corporation of the University of Hawaiʻi" | text: "Tax Foundation of Hawaii with comments."
score: 0.460349 | segment id: 10 | term: "west oahu" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.449103 | segment id: 105 | term: "Candidate Advisory Council" | text: "Chair recommendation is adopted."
score: 0.448963 | segment id: 10 | term: "Research Corporation of the University of Hawaiʻi" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.439100 | segment id: 38 | term: "Research Corporation of the University of Hawaiʻi" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.423868 | segment id: 10 | term: "Hawaiʻi Medical Education Council" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.420013 | segment id: 64 | term: "Hawaiʻi Teacher Standards Board" | text: "Tax Foundation of Hawaii with comments."
score: 0.415319 | segment id: 10 | term: "Hawaiʻi Teacher Standards Board" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.413818 | segment id: 64 | term: "Hawaiʻi Commission on National and Community Service" | text: "Tax Foundation of Hawaii with comments."
score: 0.407312 | segment id: 38 | term: "Hawaiʻi Medical Education Council" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.399893 | segment id: 38 | term: "west oahu" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.396136 | segment id: 75 | term: "State Departments" | text: "I'm from the Department of Taxation."
score: 0.391873 | segment id: 127 | term: "Candidate Advisory Council" | text: "Without others voting aye, recommendation's adopted."
score: 0.385091 | segment id: 38 | term: "Hawaiʻi Teacher Standards Board" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.383757 | segment id: 17 | term: "Hawaiʻi Commission on National and Community Service" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.383565 | segment id: 117 | term: "Candidate Advisory Council" | text: "Without others voting aye, recommendation is adopted."
score: 0.382747 | segment id: 67 | term: "Research Corporation of the University of Hawaiʻi" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.380118 | segment id: 67 | term: "Hawaiʻi Commission on National and Community Service" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.379528 | segment id: 64 | term: "Hawaiʻi Institute of Marine Biology" | text: "Tax Foundation of Hawaii with comments."
score: 0.377319 | segment id: 10 | term: "Aloha Stadium" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.376110 | segment id: 103 | term: "Mauna Kea" | text: "Senator Kanuha?"
score: 0.373786 | segment id: 108 | term: "302a-431" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.371152 | segment id: 64 | term: "west oahu" | text: "Tax Foundation of Hawaii with comments."
score: 0.370679 | segment id: 10 | term: "Hawaiʻi Institute of Marine Biology" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.369093 | segment id: 38 | term: "Mauna Kea" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.364963 | segment id: 95 | term: "Hawaiʻi Commission on National and Community Service" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.362382 | segment id: 38 | term: "Aloha Stadium" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.361506 | segment id: 19 | term: "Hawaiʻi Commission on National and Community Service" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.360720 | segment id: 17 | term: "west oahu" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.359097 | segment id: 7 | term: "Board of Regents" | text: "It requires a report to the legislature."
score: 0.358934 | segment id: 64 | term: "Hawaiʻi Medical Education Council" | text: "Tax Foundation of Hawaii with comments."
score: 0.357808 | segment id: 29 | term: "State Departments" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.357654 | segment id: 18 | term: "Hawaiʻi Commission on National and Community Service" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.355102 | segment id: 14 | term: "Research Corporation of the University of Hawaiʻi" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.352213 | segment id: 19 | term: "west oahu" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.351775 | segment id: 62 | term: "State Departments" | text: "Our first testifier is Department of Taxation with comments."
score: 0.351619 | segment id: 88 | term: "Hawaiʻi Commission on National and Community Service" | text: "We'd also like to welcome Senator Kanuha."
score: 0.351600 | segment id: 103 | term: "Hawaiʻi Commission on National and Community Service" | text: "Senator Kanuha?"
score: 0.350950 | segment id: 38 | term: "Hawaiʻi Institute of Marine Biology" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.349881 | segment id: 105 | term: "Board of Regents" | text: "Chair recommendation is adopted."
score: 0.349671 | segment id: 10 | term: "Mauna Kea" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.348375 | segment id: 123 | term: "Board of Regents" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.347332 | segment id: 64 | term: "Aloha Stadium" | text: "Tax Foundation of Hawaii with comments."
score: 0.345550 | segment id: 7 | term: "Education Commission of the States" | text: "It requires a report to the legislature."
score: 0.343917 | segment id: 67 | term: "Mauna Kea" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.342558 | segment id: 108 | term: "Hawaiʻi Commission on National and Community Service" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.341191 | segment id: 67 | term: "Hawaiʻi Medical Education Council" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.340833 | segment id: 99 | term: "Board of Regents" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.340761 | segment id: 113 | term: "Board of Regents" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.340052 | segment id: 115 | term: "Candidate Advisory Council" | text: "Any members voting with reservations?"
score: 0.340052 | segment id: 125 | term: "Candidate Advisory Council" | text: "Any members voting with reservations?"
score: 0.339513 | segment id: 19 | term: "Research Corporation of the University of Hawaiʻi" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.335882 | segment id: 28 | term: "Candidate Advisory Council" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.335324 | segment id: 35 | term: "Hawaiʻi Commission on National and Community Service" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.333869 | segment id: 113 | term: "Candidate Advisory Council" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
