Max similarity: 0.546386
Total matches: 15450

score: 0.546386 | segment id: 348 | term: "university" | text: "The university is a big organization."
score: 0.540176 | segment id: 404 | term: "Tuition" | text: "Well, there is a tuition increase on the horizon."
score: 0.524005 | segment id: 422 | term: "Tuition" | text: "Did that come out of the tuition funds?"
score: 0.519862 | segment id: 512 | term: "Research Corporation of the University of Hawaiʻi" | text: "This is relating to the University of Hawaii relief funding."
score: 0.511407 | segment id: 43 | term: "Research Corporation of the University of Hawaiʻi" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.510439 | segment id: 375 | term: "Research Corporation of the University of Hawaiʻi" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.506233 | segment id: 434 | term: "university" | text: "THEY WOULD NEED TO BE A UNIVERSITY."
score: 0.504619 | segment id: 424 | term: "Research Corporation of the University of Hawaiʻi" | text: "That came out of UH Foundation funding."
score: 0.502808 | segment id: 444 | term: "Post-Secondary Education Commission" | text: "Calling back to order the Committee on Higher Education."
score: 0.488702 | segment id: 420 | term: "Tuition" | text: "Did that come out of those tuition funds?"
score: 0.476912 | segment id: 9 | term: "Research Corporation of the University of Hawaiʻi" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.475760 | segment id: 12 | term: "Hawaiʻi Medical Education Council" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.471753 | segment id: 444 | term: "Board of Regents" | text: "Calling back to order the Committee on Higher Education."
score: 0.470014 | segment id: 395 | term: "Cancer Center" | text: "I know money go for the cancer center, money go for other things."
score: 0.467716 | segment id: 408 | term: "Tuition" | text: "Yeah, the regions I understand is probably looking at increasing tuition, increasing in student housing fees and so forth."
score: 0.465177 | segment id: 379 | term: "Tuition" | text: "Lately, these tuition special fund that takes all the student tuition have come under fire for various using the funds for various other things other than related to possibly students directly."
score: 0.461951 | segment id: 146 | term: "Research Corporation of the University of Hawaiʻi" | text: "So, University of Hawaii, Parliamentary."
score: 0.460739 | segment id: 12 | term: "Research Corporation of the University of Hawaiʻi" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.459087 | segment id: 232 | term: "Research Corporation of the University of Hawaiʻi" | text: "Shouldn't you as the University of Hawaii have that data and put that data, make it public without us having to put together a bill?"
score: 0.458502 | segment id: 374 | term: "Research Corporation of the University of Hawaiʻi" | text: "My name is Arnold Sturgis, here on behalf of the University of Hawaii Student Caucus."
score: 0.458172 | segment id: 154 | term: "Research Corporation of the University of Hawaiʻi" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.456884 | segment id: 54 | term: "university" | text: "You have our university's testimony."
score: 0.456514 | segment id: 375 | term: "Hawaiʻi Medical Education Council" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.449139 | segment id: 9 | term: "Hawaiʻi Medical Education Council" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.445759 | segment id: 57 | term: "Hawaiʻi Commission on National and Community Service" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.444387 | segment id: 360 | term: "Research Corporation of the University of Hawaiʻi" | text: "We are on House Bill 1171, House Draft 2, relating to the University of Hawaii relief funding allows the border regions to use funds in the University of Hawaii tuition and fee special fund for studen"
score: 0.442702 | segment id: 197 | term: "Hawaiʻi Medical Education Council" | text: "We are on House Bill 1320, House Draft 1, relating to education, requires the University of Hawaii system to collect, analyze, and publicly report certain graduate outcome data, requires and appropria"
score: 0.436323 | segment id: 47 | term: "Research Corporation of the University of Hawaiʻi" | text: "This is for various conference center programs in Hilo."
score: 0.434896 | segment id: 12 | term: "Hawaiʻi Teacher Standards Board" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.434429 | segment id: 47 | term: "Hawaiʻi Institute of Marine Biology" | text: "This is for various conference center programs in Hilo."
score: 0.434364 | segment id: 426 | term: "Tuition" | text: "So it was sort of like a waiver of tuition for four years?"
score: 0.432938 | segment id: 197 | term: "Research Corporation of the University of Hawaiʻi" | text: "We are on House Bill 1320, House Draft 1, relating to education, requires the University of Hawaii system to collect, analyze, and publicly report certain graduate outcome data, requires and appropria"
score: 0.432627 | segment id: 47 | term: "Hawaiʻi Medical Education Council" | text: "This is for various conference center programs in Hilo."
score: 0.430774 | segment id: 200 | term: "Board of Regents" | text: "Deborah Halbert, Vice President for Academic Strategy."
score: 0.430327 | segment id: 445 | term: "Hawaiʻi Medical Education Council" | text: "We are in decision-making, starting off with House Bill 442, House Draft 1 relating to the University of Hawaii and the various nursing programs."
score: 0.430289 | segment id: 47 | term: "Hawaiʻi Commission on National and Community Service" | text: "This is for various conference center programs in Hilo."
score: 0.428058 | segment id: 174 | term: "Research Corporation of the University of Hawaiʻi" | text: "The industries that will come to the table, if the University of Hawaii needs this and put it out, that they want all the industries to come in and share them on this idea what you just shared, a lot "
score: 0.427147 | segment id: 403 | term: "Tuition" | text: "So if we're not increasing tuition to compensate, the students don't really seem to have an issue."
score: 0.426908 | segment id: 292 | term: "State Departments" | text: "You can do all of that now just by the departments you guys have."
score: 0.420103 | segment id: 375 | term: "Hawaiʻi Teacher Standards Board" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.419493 | segment id: 197 | term: "Hawaiʻi Teacher Standards Board" | text: "We are on House Bill 1320, House Draft 1, relating to education, requires the University of Hawaii system to collect, analyze, and publicly report certain graduate outcome data, requires and appropria"
